2335,2325,2423,2333,2417,2406,2328,2398,0.74465024
2240,2316,2329,2327,2321,2397,2231,2386,0.7415843
2068,2313,2213,2325,2206,2405,2061,2393,0.70658636
2422,2315,2511,2315,2511,2405,2422,2405,0.7597146
2507,2315,2576,2315,2576,2408,2507,2408,0.6744395
1915,2295,2050,2295,2050,2385,1915,2385,0.7665635
1694,2276,1741,2300,1718,2347,1671,2323,0.35113284
1767,2262,1882,2262,1882,2372,1767,2372,0.65207696
2121,2176,2248,2191,2239,2271,2112,2256,0.8156966
2234,2179,2326,2179,2326,2275,2234,2275,0.7217464
2326,2172,2392,2172,2392,2292,2326,2292,0.7868709
1695,2169,1734,2169,1734,2218,1695,2218,0.37583688
1922,2152,2047,2152,2047,2248,1922,2248,0.84156513
1813,2152,1912,2152,1912,2245,1813,2245,0.7901808
1681,2039,1751,2022,1764,2082,1694,2099,0.396988
1978,2014,2130,2024,2125,2117,1973,2107,0.76305026
1935,2026,1987,2026,1987,2109,1935,2109,0.54097575
2132,2006,2241,2006,2241,2089,2132,2089,0.5445464
1810,1999,1925,1999,1925,2102,1810,2102,0.7858645
1986,1873,2112,1889,2100,1985,1975,1970,0.7104812
1685,1893,1764,1893,1764,1956,1685,1956,0.5298827
2132,1889,2221,1889,2221,1942,2132,1942,0.68513095
1807,1874,1956,1884,1950,1974,1802,1964,0.83166295
1678,1766,1757,1766,1757,1823,1678,1823,0.5504479
1977,1753,2109,1753,2109,1846,1977,1846,0.81661046
1805,1750,1960,1765,1953,1841,1798,1827,0.8168618
2141,1761,2220,1752,2226,1809,2147,1818,0.5947967
1941,1638,2130,1651,2125,1724,1937,1712,0.79691005
2145,1636,2221,1636,2221,1713,2145,1713,0.48024747
1675,1636,1760,1636,1760,1686,1675,1686,0.44904146
1793,1623,1902,1623,1902,1706,1793,1706,0.824163
1981,1493,2073,1493,2073,1587,1981,1587,0.75786126
2112,1497,2188,1497,2188,1537,2112,1537,0.6264442
1821,1475,1953,1485,1946,1578,1814,1568,0.8590176
2191,1407,2231,1407,2231,1454,2191,1454,0.67374235
2034,1382,2160,1392,2155,1458,2029,1449,0.83157814
1945,1384,2010,1384,2010,1447,1945,1447,0.7860226
1675,1380,1767,1380,1767,1424,1675,1424,0.38434684
1795,1352,1901,1362,1892,1445,1787,1435,0.78097665
1984,1340,2014,1340,2014,1360,1984,1360,0.3895551
3123,1307,3215,1307,3215,1374,3123,1374,0.8104993
2978,1294,3109,1294,3109,1390,2978,1390,0.9136367
2652,1271,2853,1271,2853,1384,2652,1384,0.85590655
2876,1277,2971,1277,2971,1364,2876,1364,0.8932153
2540,1284,2603,1284,2603,1347,2540,1347,0.5407937
2061,1265,2206,1279,2200,1355,2055,1342,0.80537444
2208,1271,2287,1271,2287,1350,2208,1350,0.46256003
1896,1251,2033,1266,2023,1360,1886,1345,0.75688887
1675,1264,1724,1264,1724,1314,1675,1314,0.5061782
1783,1241,1862,1241,1862,1324,1783,1324,0.7812166
2535,1155,2607,1145,2615,1199,2542,1209,0.4421999
2662,1138,2774,1138,2774,1224,2662,1224,0.8253675
1759,1133,1929,1142,1926,1212,1756,1203,0.8100138
2790,1138,2872,1138,2872,1217,2790,1217,0.8822396
1954,1128,2040,1128,2040,1224,1954,1224,0.5515509
2079,1121,2162,1121,2162,1171,2079,1171,0.6547863
1770,982,1884,994,1874,1097,1760,1085,0.8161836
1652,994,1750,994,1750,1081,1652,1081,0.79837734
2576,941,2626,941,2626,965,2576,965,0.44264627
2513,859,2682,870,2673,1010,2504,999,0.5960167
2662,865,2741,865,2741,975,2662,975,0.7831878
2412,861,2524,861,2524,941,2412,941,0.8497548
2362,868,2415,868,2415,948,2362,948,0.5428331
2288,860,2354,866,2348,929,2282,923,0.76782525
2083,855,2260,855,2260,945,2083,945,0.7993793
793,843,952,853,947,939,788,930,0.8253655
1899,845,2050,845,2050,935,1899,935,0.8880385
650,837,759,847,752,927,643,917,0.75481355
434,834,597,843,592,929,430,920,0.8819695
238,837,400,850,394,923,232,910,0.83510286
1750,838,1862,838,1862,925,1750,925,0.81957847
1083,842,1145,842,1145,938,1083,938,0.6597427
957,825,1119,825,1119,945,957,945,0.7418838
64,813,192,822,186,922,58,913,0.83339053
2126,732,2228,732,2228,812,2126,812,0.8406931
1973,713,2082,724,2074,800,1965,790,0.7379065
1679,744,1715,723,1731,751,1695,772,0.32843024
1786,700,1921,711,1913,820,1777,809,0.87274724
2313,701,2413,710,2408,763,2308,754,0.6995345
247,679,365,679,365,782,247,782,0.8938118
540,672,684,672,684,778,540,778,0.84142053
405,675,520,675,520,755,405,755,0.8386234
63,652,217,652,217,802,63,802,0.76234657
2320,619,2382,619,2382,675,2320,675,0.895733
2389,612,2474,612,2474,679,2389,679,0.67149156
2103,583,2259,594,2250,724,2094,713,0.65305555
1663,603,1734,617,1726,658,1655,643,0.33190802
2418,599,2468,599,2468,639,2418,639,0.5312869
1993,582,2091,591,2084,674,1986,665,0.83286333
1787,577,1959,590,1954,663,1782,650,0.7711184
2524,592,2583,592,2583,629,2524,629,0.5780615
286,526,378,526,378,612,286,612,0.8774546
71,518,251,527,248,600,68,591,0.80677986
2570,499,2629,499,2629,536,2570,536,0.38005024
2188,479,2274,479,2274,545,2188,545,0.8050759
2362,458,2591,467,2587,566,2358,558,0.8060421
2260,466,2349,466,2349,555,2260,555,0.7241806
1999,458,2064,464,2059,527,1993,521,0.75428003
1670,467,1758,458,1762,498,1674,507,0.36946088
1804,438,1956,447,1950,537,1798,527,0.8376539
576,399,684,399,684,462,576,462,0.89723814
438,389,546,389,546,456,438,456,0.9060602
382,386,457,386,457,459,382,459,0.80023175
280,382,359,382,359,462,280,462,0.84990627
76,379,155,379,155,459,76,459,0.79545105
115,363,253,363,253,509,115,509,0.60324055
2244,366,2260,366,2260,386,2244,386,0.387558
1922,346,2030,346,2030,409,1922,409,0.79256916
2369,346,2458,346,2458,406,2369,406,0.8487713
2195,333,2343,333,2343,442,2195,442,0.71155596
2040,339,2155,339,2155,416,2040,416,0.85331196
1671,343,1727,343,1727,402,1671,402,0.51431507
1777,309,1899,309,1899,406,1777,406,0.83588594
332,259,444,259,444,326,332,326,0.8660009
194,239,293,239,293,326,194,326,0.8626561
2008,228,2140,238,2135,314,2002,304,0.79136014
59,230,174,230,174,329,59,329,0.8596432
2224,230,2293,230,2293,319,2224,319,0.7544419
2181,233,2231,233,2231,316,2181,316,0.73118544
1856,225,1969,234,1964,297,1851,288,0.68903124
1678,210,1751,226,1738,283,1665,267,0.40622458
1756,203,1858,211,1851,294,1749,286,0.7380116
2310,210,2392,210,2392,279,2310,279,0.6679091
1065,122,1173,132,1166,211,1058,202,0.7826029
841,114,946,125,938,205,833,195,0.81029433
721,126,800,126,800,190,721,190,0.8189993
1148,100,1319,100,1319,266,1148,266,0.7444613
948,110,1036,110,1036,200,948,200,0.80542374
378,113,474,113,474,176,378,176,0.9876251
536,103,701,103,701,190,536,190,0.85703033
230,106,349,106,349,170,230,170,0.96619326
56,96,178,96,178,193,56,193,0.8626052
1777,76,1866,76,1866,143,1777,143,0.6482752
1553,76,1635,76,1635,113,1553,113,0.4044014
1662,47,1783,47,1783,143,1662,143,0.7182978
