779,1172,827,1172,827,1217,779,1217,0.78696734
725,1168,768,1168,768,1202,725,1202,0.82055026
676,1169,712,1169,712,1198,676,1198,0.8666346
700,1124,763,1128,760,1172,697,1167,0.8198987
54,1108,196,1108,196,1210,54,1210,0.65447
774,1108,801,1108,801,1123,774,1123,0.8508449
742,1108,774,1108,774,1124,742,1124,0.82145125
680,1108,709,1108,709,1123,680,1123,0.81761485
721,1107,745,1107,745,1124,721,1124,0.6764264
707,1108,721,1108,721,1123,707,1123,0.6279602
798,1085,859,1088,859,1103,797,1100,0.7448201
753,1086,798,1086,798,1100,753,1100,0.80692387
723,1086,753,1086,753,1101,723,1101,0.77760464
684,1086,723,1086,723,1104,684,1104,0.87462145
870,1068,905,1068,905,1083,870,1083,0.7226645
803,1068,870,1068,870,1082,803,1082,0.7369205
770,1068,804,1068,804,1085,770,1085,0.8805097
741,1068,771,1068,771,1085,741,1085,0.7113119
713,1068,741,1068,741,1085,713,1085,0.86662394
356,1068,390,1068,390,1083,356,1083,0.3949639
684,1067,714,1067,714,1082,684,1082,0.86858994
430,1067,459,1067,459,1083,430,1083,0.77194464
396,1067,436,1067,436,1082,396,1082,0.8608983
139,1064,163,1064,163,1079,139,1079,0.6976291
100,1054,149,1060,145,1086,97,1080,0.6525003
512,1044,658,1047,658,1060,512,1057,0.543128
306,1045,390,1045,390,1059,306,1059,0.74919486
103,1045,161,1045,161,1059,103,1059,0.64082795
157,1044,266,1044,266,1058,157,1058,0.70528394
105,1028,135,1028,135,1038,105,1038,0.7938563
131,1025,178,1023,178,1040,131,1041,0.71178913
678,1001,701,1005,698,1021,675,1017,0.68723875
652,1006,679,1006,679,1017,652,1017,0.7035405
703,1003,731,1003,731,1018,703,1018,0.7728172
627,1003,652,1003,652,1019,627,1019,0.65026855
596,1003,629,1003,629,1019,596,1019,0.76127106
549,1003,582,1003,582,1019,549,1019,0.8141361
535,1004,550,1004,550,1017,535,1017,0.6451158
508,1003,535,1003,535,1018,508,1018,0.7692273
476,1003,510,1003,510,1018,476,1018,0.82539177
408,1002,474,1002,474,1021,408,1021,0.60488504
214,1003,257,1003,257,1018,214,1018,0.8494471
583,1003,596,1003,596,1017,583,1017,0.4789758
349,1002,381,1002,381,1017,349,1017,0.68941504
285,1002,310,1002,310,1019,285,1019,0.7266024
181,1002,214,1002,214,1018,181,1018,0.8133428
