448,400,560,400,560,416,448,416,0.99643874
48,394,144,394,144,408,48,408,0.9964302
448,418,560,418,560,433,448,433,0.996366
208,444,272,444,272,458,208,458,0.99633896
256,138,336,138,336,153,256,153,0.9962365
512,686,560,686,560,702,512,702,0.9956535
448,171,544,171,544,185,448,185,0.9954965
400,107,448,107,448,121,400,121,0.9954847
448,381,560,381,560,397,448,397,0.9950446
16,636,272,636,272,649,16,649,0.99458706
448,368,544,368,544,380,448,380,0.99424005
512,215,544,215,544,228,512,228,0.9941765
400,191,544,191,544,209,400,209,0.99415344
400,82,448,82,448,95,400,95,0.9941326
432,303,544,303,544,316,432,316,0.9939997
496,85,544,85,544,100,496,100,0.99392575
48,172,192,172,192,185,48,185,0.993866
16,613,528,613,528,636,16,636,0.99376607
48,214,128,214,128,227,48,227,0.99364716
400,36,544,36,544,57,400,57,0.99357104
32,372,112,372,112,385,32,385,0.99352986
48,321,160,321,160,336,48,336,0.9932806
48,155,192,155,192,172,48,172,0.9932127
48,301,224,301,224,321,48,321,0.9931995
400,92,448,92,448,105,400,105,0.9929293
48,290,208,290,208,304,48,304,0.9927799
48,274,208,274,208,292,48,292,0.99265176
16,649,448,649,448,671,16,671,0.9926427
320,346,352,346,352,361,320,361,0.9925764
32,351,128,351,128,366,32,366,0.9925718
48,256,128,256,128,269,48,269,0.99225944
416,221,544,221,544,237,416,237,0.9922267
48,189,288,189,288,205,48,205,0.9921455
48,233,240,233,240,252,48,252,0.9921069
416,239,544,239,544,252,416,252,0.99206173
320,446,400,446,400,461,320,461,0.9916626
448,448,544,448,544,465,448,465,0.991537
48,411,240,411,240,426,48,426,0.9914014
320,251,544,251,544,270,320,270,0.9913523
416,288,544,288,544,301,416,301,0.9913497
32,442,160,442,160,456,32,456,0.99134237
32,335,128,335,128,350,32,350,0.9912708
192,119,400,119,400,134,192,134,0.9911327
