665,116,1495,117,1495,256,665,255
389,439,919,438,919,511,389,512
1570,124,2090,125,2089,261,1570,260
472,2111,653,2111,653,2206,473,2206
360,939,903,938,903,1010,361,1010
2140,129,2610,130,2610,264,2140,264
2086,1870,2329,1869,2329,1955,2087,1956
2872,1859,3116,1859,3116,1943,2872,1943
1742,3116,2023,3115,2023,3189,1743,3190
839,335,1321,334,1322,404,840,405
378,1059,567,1059,567,1149,378,1149
261,2342,452,2342,452,2443,261,2443
605,1055,855,1056,855,1130,605,1129
1348,337,1663,336,1663,407,1348,408
2529,943,2892,942,2892,1013,2529,1014
2881,1972,3115,1972,3115,2055,2880,2054
460,1763,589,1762,589,1838,460,1838
2088,1982,2327,1982,2327,2064,2088,2064
492,2577,756,2577,756,2669,492,2669
1873,325,2130,326,2130,413,1872,412
753,2234,1058,2234,1057,2317,753,2316
2089,2207,2333,2207,2333,2293,2090,2294
985,707,1295,706,1295,778,986,778
236,2817,425,2817,425,2916,236,2916
2162,323,2377,322,2377,414,2162,415
526,710,840,710,840,780,526,780
1931,2786,2102,2786,2102,2863,1931,2863
1112,1646,1342,1647,1341,1738,1112,1738
2220,713,2518,714,2518,784,2220,783
397,314,668,315,668,406,397,406
1402,1283,1627,1282,1627,1380,1402,1381
2634,328,2857,328,2857,419,2634,418
3035,2540,3126,2540,3126,2612,3035,2612
451,2819,610,2819,610,2897,451,2896
197,331,368,330,368,407,197,408
1511,2793,1703,2793,1703,2884,1511,2884
2915,946,3090,946,3090,1015,2915,1016
2375,1519,2595,1519,2595,1616,2375,1616
1344,3244,1521,3244,1521,3333,1344,3333
1725,2789,1907,2789,1907,2881,1725,2881
2960,2426,3127,2426,3127,2512,2960,2512
2957,2313,3122,2313,3122,2397,2958,2398
2082,1640,2330,1640,2330,1724,2082,1725
407,2463,579,2463,579,2560,406,2559
622,1524,832,1524,832,1622,622,1622
200,441,365,442,365,517,200,517
2831,2200,2969,2200,2969,2270,2831,2270
400,826,623,826,623,897,400,897
1230,3131,1424,3131,1424,3204,1230,3204
1645,1309,1810,1309,1810,1381,1645,1381
220,830,376,830,376,902,220,902
2297,940,2507,940,2507,1009,2297,1009
821,2813,998,2812,999,2886,821,2887
475,2345,617,2345,617,2422,475,2423
2944,1632,3108,1631,3108,1714,2944,1715
2671,722,2913,721,2913,789,2671,790
2821,1632,2972,1632,2972,1702,2821,1702
2837,2314,2986,2314,2986,2385,2837,2384
1138,2803,1321,2803,1321,2878,1138,2878
634,2815,798,2815,797,2891,634,2891
697,330,815,330,815,405,697,406
2943,350,3069,350,3070,421,2943,422
1823,1289,2007,1290,2007,1380,1823,1380
2633,1516,2813,1517,2813,1612,2633,1612
247,1524,398,1524,398,1600,247,1600
1340,2800,1482,2800,1482,2873,1340,2873
1712,3232,1852,3232,1852,3324,1711,3323
2468,328,2612,327,2612,417,2468,417
687,1994,887,1995,887,2070,687,2070
456,1525,597,1525,597,1604,456,1604
2833,1517,2970,1517,2970,1595,2834,1595
466,2000,599,1999,599,2071,466,2071
1082,2219,1235,2218,1235,2294,1082,2294
260,2583,422,2584,421,2658,260,2658
1205,1988,1349,1987,1349,2066,1205,2067
458,1645,587,1645,587,1718,458,1718
1976,939,2135,938,2135,1009,1976,1010
2835,2428,2981,2428,2981,2501,2835,2501
219,1061,355,1060,355,1135,219,1135
1572,3120,1728,3120,1728,3216,1572,3215
220,944,340,944,340,1016,220,1016
1602,1527,1700,1527,1701,1600,1602,1600
219,713,341,713,341,788,220,788
472,2230,589,2229,590,2308,472,2308
2981,2199,3120,2198,3120,2283,2981,2283
2794,830,2897,830,2898,900,2794,901
678,1646,841,1646,841,1718,679,1719
1048,1994,1178,1994,1178,2068,1048,2068
465,1877,593,1877,593,1950,465,1950
1969,711,2092,711,2092,780,1969,781
973,1640,1088,1640,1088,1719,973,1720
911,1997,1030,1997,1030,2085,911,2085
1741,340,1846,340,1846,407,1741,407
1994,1528,2106,1528,2106,1619,1994,1619
258,2463,384,2463,384,2542,258,2542
1366,1644,1479,1644,1479,1720,1366,1720
1834,1531,1973,1531,1973,1601,1834,1601
853,708,960,708,960,777,853,777
1257,2238,1387,2239,1387,2312,1257,2312
358,712,490,712,490,782,358,782
2798,721,2965,721,2965,790,2798,789
2542,718,2637,717,2637,786,2542,786
1539,3240,1695,3240,1696,3326,1540,3327
2173,939,2273,939,2273,1009,2173,1010
867,1646,950,1646,950,1719,867,1719
617,2225,728,2224,729,2300,617,2300
1021,2807,1108,2807,1109,2883,1022,2883
617,1878,709,1878,709,1950,618,1950
732,1878,824,1877,825,1970,732,1970
1441,3142,1553,3142,1553,3198,1441,3199
1975,825,2055,825,2055,894,1975,894
2111,728,2198,728,2198,782,2111,782
846,1878,962,1878,961,1948,846,1948
258,1992,309,1992,308,2073,258,2073
262,2228,316,2228,315,2307,261,2307
1752,2207,1802,2207,1802,2286,1751,2286
249,1879,308,1880,308,1952,248,1952
446,2580,641,2579,641,2664,446,2665
2932,831,2977,831,2977,901,2932,901
614,1998,658,1998,658,2072,614,2071
1744,1643,1791,1643,1790,1716,1744,1716
600,1647,658,1647,658,1718,600,1718
