1808,161,2021,162,2021,208,1808,208
2024,345,2158,345,2158,388,2024,388
1397,491,1552,491,1552,549,1397,549
1829,1474,1998,1474,1998,1514,1828,1514
1037,471,1213,471,1213,528,1037,528
410,696,711,695,711,732,411,732
378,2517,758,2517,758,2558,378,2559
2105,2761,2193,2761,2193,2801,2105,2801
303,1441,432,1441,432,1486,303,1486
1768,1214,1894,1214,1894,1253,1768,1252
1629,184,1731,183,1731,222,1629,222
2034,1081,2167,1081,2167,1122,2034,1123
2032,1805,2153,1805,2153,1858,2032,1858
529,1191,698,1191,698,1225,529,1225
840,475,1023,475,1022,532,840,532
574,634,739,634,739,670,574,670
193,1430,290,1430,290,1475,193,1475
1768,1277,1894,1277,1894,1316,1768,1316
391,1062,523,1061,523,1103,391,1103
2039,1403,2169,1403,2169,1446,2039,1447
1820,1611,1948,1611,1948,1655,1820,1654
262,1651,402,1651,402,1691,262,1691
1898,699,2166,699,2166,738,1898,738
311,1582,444,1582,444,1620,311,1620
330,1249,468,1249,468,1290,330,1290
1780,1089,1877,1089,1877,1125,1780,1125
250,626,428,626,428,673,250,673
2060,1273,2159,1272,2159,1313,2060,1313
918,2467,1043,2467,1043,2515,917,2515
293,1501,398,1501,398,1545,293,1545
519,1649,639,1648,639,1705,519,1705
2106,199,2161,199,2161,235,2106,236
2036,1207,2170,1208,2170,1249,2036,1249
1816,959,1929,959,1930,1004,1816,1004
321,993,433,993,433,1039,321,1039
1724,886,1804,886,1804,926,1724,926
235,860,365,860,365,898,235,898
2042,950,2163,950,2163,988,2042,988
1231,488,1386,488,1386,534,1231,534
835,2529,962,2529,962,2556,835,2556
707,1198,810,1198,810,1230,707,1231
1168,2626,1265,2625,1265,2669,1168,2669
2068,1539,2178,1539,2178,1576,2068,1576
2047,872,2167,872,2167,910,2047,910
530,1129,700,1129,700,1164,530,1164
314,1774,491,1774,491,1822,314,1822
742,949,846,949,846,996,743,996
1354,1793,1469,1793,1469,1841,1354,1841
218,1121,352,1121,352,1155,218,1155
1380,2485,1496,2485,1496,2529,1380,2529
1870,1802,2019,1802,2019,1843,1870,1843
211,1246,317,1246,317,1280,211,1280
178,1769,303,1769,303,1811,178,1811
2045,1005,2166,1005,2166,1061,2045,1060
1691,301,1801,301,1801,333,1691,333
2000,2507,2110,2507,2110,2541,2000,2541
215,1183,348,1183,348,1218,215,1218
1816,880,1896,880,1896,921,1816,921
2063,1473,2171,1473,2171,1508,2063,1508
783,1662,889,1662,889,1701,783,1701
2070,1614,2179,1613,2179,1651,2070,1652
179,1570,298,1570,298,1627,179,1627
97,2513,209,2513,209,2556,97,2555
1824,1681,1949,1681,1949,1725,1824,1725
566,1254,684,1254,684,1289,566,1289
106,2556,210,2556,210,2598,106,2597
1629,237,1707,237,1707,269,1629,269
379,864,490,863,490,910,379,910
618,943,730,943,730,990,618,990
958,1786,1071,1786,1071,1835,958,1835
1690,373,1812,373,1812,406,1690,406
305,1311,387,1311,387,1345,305,1345
422,2564,524,2564,524,2598,422,2598
455,1584,571,1584,571,1623,455,1623
889,2621,997,2621,997,2663,889,2663
203,1372,300,1372,300,1407,203,1407
322,937,436,937,436,981,322,980
1325,1021,1418,1021,1418,1057,1325,1057
2107,269,2162,269,2162,304,2107,304
410,1654,509,1654,509,1693,410,1693
101,2606,203,2606,203,2647,101,2647
1667,788,1775,788,1775,825,1667,825
529,1317,614,1317,614,1358,529,1358
2104,147,2160,146,2160,178,2104,179
1689,443,1812,443,1811,476,1689,476
2090,1145,2167,1144,2167,1186,2090,1186
462,2614,571,2614,571,2648,462,2648
454,2465,580,2465,580,2499,454,2499
679,2617,786,2617,786,2652,679,2651
1162,2477,1251,2477,1251,2521,1162,2521
2010,778,2103,778,2103,808,2010,808
589,2467,702,2467,702,2510,589,2510
710,1136,812,1136,812,1169,710,1169
833,770,929,770,930,823,833,824
176,2463,268,2462,268,2505,176,2506
1697,2493,1805,2493,1806,2541,1697,2542
237,933,310,933,310,969,237,969
1789,788,1895,788,1896,819,1789,819
2075,1685,2182,1685,2182,1725,2075,1724
1806,708,1880,708,1880,745,1805,745
402,1376,494,1376,494,1419,402,1419
711,2465,795,2465,795,2504,712,2504
219,2508,304,2508,304,2548,219,2548
1788,1403,1898,1403,1898,1444,1788,1444
207,1310,293,1309,293,1343,207,1344
320,691,395,691,395,727,321,727
274,2465,368,2465,368,2507,274,2507
188,1497,280,1497,280,1543,188,1543
495,767,616,767,616,812,495,812
529,2573,622,2572,622,2607,529,2607
1859,1540,1958,1540,1958,1576,1859,1576
210,2619,302,2619,302,2655,210,2655
295,1058,385,1058,385,1092,295,1092
442,1187,518,1187,518,1221,442,1221
359,1186,434,1186,434,1219,359,1219
116,2460,211,2460,211,2501,116,2501
1932,1540,2033,1539,2033,1575,1932,1576
1740,1153,1812,1153,1812,1185,1739,1185
1320,1337,1367,1337,1368,1374,1320,1374
311,1375,391,1375,391,1415,311,1415
855,1783,945,1783,945,1824,855,1824
478,1252,555,1251,555,1285,478,1285
820,2571,897,2571,897,2604,820,2604
436,1314,517,1314,517,1348,436,1348
2012,1146,2083,1146,2083,1179,2012,1179
1649,2642,1731,2642,1731,2682,1649,2682
443,631,562,631,562,668,443,668
303,2515,362,2515,362,2555,303,2555
856,953,943,953,943,989,856,989
242,762,311,761,311,805,243,805
1815,2501,1889,2501,1889,2543,1815,2543
223,990,308,990,308,1027,223,1027
410,767,488,767,488,801,410,801
901,2571,979,2571,978,2613,900,2613
503,1776,578,1776,578,1816,503,1816
1905,774,2000,774,2000,821,1905,821
985,2572,1058,2572,1058,2613,985,2613
1005,2629,1091,2629,1091,2663,1005,2663
1315,2481,1372,2481,1372,2523,1316,2523
734,768,819,768,819,811,734,812
722,1519,792,1519,792,1555,722,1555
361,1123,436,1123,436,1157,361,1157
1318,1398,1374,1398,1374,1431,1318,1432
444,1125,520,1125,520,1159,444,1159
323,761,392,761,392,799,323,799
1459,2637,1521,2637,1521,2680,1459,2680
212,2563,283,2563,283,2598,212,2598
1942,1613,2041,1612,2041,1652,1942,1652
1577,1023,1652,1023,1652,1060,1577,1060
628,769,716,769,716,814,628,814
758,2526,832,2526,832,2561,758,2562
1725,962,1805,962,1805,1000,1725,1000
1559,2492,1618,2492,1618,2526,1560,2526
1321,2632,1382,2632,1382,2674,1322,2674
966,778,1022,778,1022,815,966,815
247,690,308,689,308,726,247,726
1137,567,1205,567,1205,604,1137,604
223,1056,282,1056,282,1091,223,1091
618,2616,675,2616,675,2650,618,2650
384,2614,457,2614,458,2647,384,2647
1705,1024,1801,1024,1801,1060,1705,1060
1320,1273,1375,1273,1375,1306,1320,1306
1813,1019,1883,1019,1883,1067,1813,1067
792,2619,881,2618,882,2661,792,2662
1098,2615,1159,2615,1159,2664,1098,2664
375,2466,445,2466,445,2500,375,2500
2114,775,2168,775,2168,802,2114,803
1818,1150,1896,1150,1896,1190,1818,1191
1481,1804,1539,1804,1539,1842,1481,1842
697,2568,754,2568,754,2601,697,2601
624,2574,691,2574,691,2601,624,2602
1953,1683,2044,1683,2044,1722,1953,1722
1048,2466,1108,2466,1108,2507,1048,2507
1268,2630,1314,2630,1314,2665,1268,2665
305,2613,377,2613,377,2648,305,2648
1321,1211,1386,1211,1386,1244,1321,1244
1231,576,1286,576,1286,612,1231,612
1070,563,1125,563,1125,607,1070,607
800,2472,863,2472,863,2512,800,2512
1622,2494,1690,2495,1690,2537,1622,2537
1628,369,1680,369,1680,408,1628,408
1264,2474,1313,2474,1313,2515,1265,2515
765,1518,830,1518,830,1555,765,1555
1323,1149,1387,1148,1387,1182,1323,1182
1629,296,1680,296,1681,335,1629,335
2139,416,2163,416,2163,453,2139,453
819,1201,871,1201,871,1234,819,1234
1035,777,1105,777,1105,821,1035,821
289,2565,362,2565,362,2598,289,2598
1896,2503,1945,2503,1945,2544,1896,2544
757,2560,814,2560,814,2603,756,2602
1627,440,1679,440,1679,478,1627,478
1614,1144,1640,1144,1639,1203,1613,1202
1110,2473,1158,2473,1158,2508,1110,2508
1530,2642,1589,2642,1590,2676,1530,2676
1613,1391,1638,1392,1638,1437,1613,1437
1613,1259,1640,1259,1640,1326,1613,1326
368,2562,419,2562,419,2598,368,2598
865,2472,912,2472,912,2506,865,2506
1501,2496,1553,2496,1553,2524,1501,2524
1397,2636,1451,2636,1452,2676,1397,2676
579,2613,612,2613,612,2649,579,2649
1597,2638,1643,2638,1643,2678,1597,2678
1322,1086,1353,1086,1353,1127,1322,1127
1615,1089,1639,1089,1639,1128,1615,1127
395,1313,426,1313,425,1352,395,1352
2035,1273,2110,1273,2110,1312,2035,1312
1950,2505,1994,2505,1994,2539,1950,2539
