664,117,1496,115,1496,253,665,256
387,439,919,439,919,513,387,512
472,2110,652,2110,652,2207,472,2208
1571,125,2088,125,2088,261,1571,260
1742,3116,2021,3115,2022,3189,1742,3190
578,2575,764,2575,764,2669,578,2669
2141,130,2608,131,2608,265,2141,265
839,334,1314,333,1314,405,839,405
2897,1860,3112,1860,3112,1942,2897,1942
752,2241,1055,2240,1055,2315,752,2316
395,311,667,311,667,404,395,405
982,707,1298,707,1298,777,982,778
380,1057,569,1056,569,1149,380,1149
458,1762,590,1762,590,1837,459,1837
262,2343,452,2343,452,2443,262,2443
604,1054,853,1054,853,1129,604,1130
236,2817,425,2817,425,2916,236,2916
3038,2541,3127,2540,3127,2612,3038,2612
1347,336,1664,336,1664,407,1347,408
2096,1982,2322,1981,2322,2064,2096,2064
360,940,765,939,766,1010,360,1011
524,710,843,710,843,780,524,779
2084,1869,2328,1869,2328,1955,2084,1955
2082,1640,2326,1640,2326,1726,2082,1726
2214,715,2518,716,2518,784,2214,784
1231,3130,1423,3130,1423,3204,1231,3204
1872,322,2130,323,2130,412,1872,412
2914,947,3092,946,3092,1016,2914,1016
2528,942,2885,941,2886,1011,2529,1012
451,2817,610,2818,610,2896,450,2896
1110,1647,1341,1647,1341,1738,1110,1737
1399,1281,1626,1281,1626,1382,1400,1382
1931,2784,2101,2784,2101,2863,1931,2863
261,2584,421,2584,421,2658,261,2659
2633,327,2855,327,2856,420,2634,420
2836,2313,3006,2314,3006,2394,2836,2394
2658,720,2840,720,2840,789,2657,789
2633,1516,2815,1516,2815,1612,2633,1612
2832,2200,2970,2200,2970,2275,2832,2275
2162,320,2377,321,2377,414,2162,413
2951,2311,3123,2311,3124,2397,2952,2397
686,1993,889,1993,888,2070,686,2070
1136,2803,1318,2803,1318,2878,1136,2878
1728,2788,1908,2788,1908,2881,1728,2881
396,826,626,827,626,897,396,897
197,332,364,332,364,408,197,407
198,441,360,441,360,516,198,516
821,2813,997,2812,997,2887,821,2887
220,830,376,829,376,902,220,903
2985,2425,3126,2425,3126,2510,2985,2511
2375,1521,2591,1521,2591,1615,2375,1616
620,1524,830,1523,830,1622,620,1622
2297,940,2506,940,2506,1010,2297,1009
357,711,496,710,496,783,357,783
1826,1289,2008,1289,2008,1380,1826,1380
1202,1987,1349,1987,1349,2066,1202,2066
1506,2793,1703,2793,1703,2885,1506,2884
2834,2428,2971,2427,2971,2503,2835,2503
677,1646,843,1645,843,1719,677,1719
2168,2207,2335,2207,2335,2289,2168,2289
632,2814,798,2814,798,2892,633,2892
404,2462,578,2462,578,2559,404,2559
472,2230,591,2229,591,2305,472,2306
475,2343,618,2344,618,2421,475,2421
1342,2801,1483,2800,1483,2872,1342,2873
1344,3242,1523,3242,1523,3334,1344,3334
2833,1517,2973,1517,2973,1593,2833,1594
515,937,899,936,899,1008,515,1008
2465,327,2612,327,2612,418,2465,417
1712,3231,1850,3231,1850,3324,1712,3324
1082,2218,1234,2218,1234,2294,1081,2293
1647,1309,1808,1308,1809,1381,1647,1381
1259,2237,1384,2237,1385,2310,1259,2311
2944,350,3069,350,3069,421,2945,422
2821,1633,2963,1633,2963,1708,2821,1708
2974,1972,3118,1972,3118,2049,2974,2049
458,1644,587,1644,587,1719,458,1719
456,1524,598,1525,597,1604,456,1604
2988,2199,3120,2199,3121,2276,2988,2276
1976,939,2138,939,2138,1010,1976,1010
1445,3142,1552,3141,1552,3198,1445,3198
249,1526,394,1526,394,1600,249,1600
218,1060,354,1060,354,1134,218,1134
2968,1631,3107,1630,3107,1713,2968,1713
445,2579,581,2579,580,2670,445,2669
1573,3120,1726,3120,1725,3214,1573,3214
732,1878,823,1878,824,1970,732,1970
469,2000,596,2000,596,2071,469,2071
2493,718,2635,718,2635,785,2493,785
218,944,343,943,343,1016,219,1016
465,1878,594,1878,593,1951,465,1950
2795,831,2906,831,2906,900,2795,900
847,1878,963,1878,963,1948,847,1949
1366,1644,1481,1643,1481,1720,1366,1720
1834,1531,1974,1532,1973,1601,1834,1601
842,709,961,709,961,778,843,778
911,1998,1031,1998,1031,2085,912,2085
1971,711,2093,711,2092,781,1971,781
261,2463,382,2463,382,2542,261,2542
1606,1527,1700,1527,1700,1601,1606,1601
2090,2210,2199,2210,2199,2288,2090,2288
218,713,341,714,341,787,218,787
696,330,811,330,811,408,697,408
2173,938,2275,938,2275,1010,2173,1010
1742,338,1845,339,1845,409,1741,409
1536,3239,1694,3239,1694,3328,1535,3328
2878,1972,2975,1972,2975,2046,2879,2046
1048,1992,1176,1992,1177,2068,1048,2068
972,1641,1090,1641,1090,1719,972,1719
2111,729,2197,729,2197,782,2110,782
613,2224,729,2224,729,2300,613,2300
2876,722,2964,721,2964,790,2876,791
1019,2806,1109,2806,1109,2883,1019,2883
618,1877,710,1877,710,1952,618,1953
1995,1527,2105,1526,2106,1621,1995,1622
1970,825,2053,825,2053,895,1970,895
867,1647,950,1646,950,1720,868,1720
260,2228,312,2227,312,2305,261,2305
2130,2788,2191,2788,2191,2871,2130,2871
1759,2210,1819,2210,1819,2291,1759,2291
259,1996,306,1996,306,2071,259,2071
2932,834,2973,834,2973,902,2933,902
1744,1646,1787,1646,1788,1719,1745,1719
618,2000,666,2000,666,2070,618,2070
253,1879,308,1879,309,1953,253,1953
605,1647,655,1647,655,1715,605,1715
