2835,2313,3123,2312,3123,2399,2835,2400
2835,2427,3125,2426,3125,2513,2835,2514
685,117,1501,116,1502,255,686,256
389,438,923,439,923,513,389,512
1567,126,2090,125,2091,260,1567,261
2831,2200,3120,2200,3121,2285,2831,2286
474,2111,651,2111,652,2206,474,2206
2141,131,2610,132,2609,265,2140,264
2872,1859,3115,1859,3115,1944,2872,1944
751,2242,1055,2241,1055,2314,751,2315
1741,3116,2023,3115,2024,3190,1741,3190
2088,1982,2327,1982,2327,2065,2088,2066
841,333,1319,333,1319,404,841,405
259,2344,453,2343,453,2442,259,2442
448,2577,763,2576,763,2670,448,2671
2873,1972,3117,1972,3117,2056,2873,2057
461,1763,588,1763,588,1837,461,1836
2088,2209,2331,2208,2331,2292,2088,2293
605,1055,852,1055,853,1129,605,1130
2659,720,2969,720,2969,791,2659,790
237,2818,426,2818,426,2917,237,2916
2176,940,2503,940,2503,1010,2176,1010
3035,2541,3129,2540,3129,2612,3036,2613
1398,1281,1708,1282,1707,1381,1398,1379
363,939,738,940,737,1010,363,1009
1871,324,2133,324,2132,412,1871,411
2816,1632,3108,1631,3109,1716,2816,1716
1231,3130,1422,3130,1423,3204,1232,3204
985,706,1294,706,1294,779,985,779
2163,322,2377,322,2377,413,2163,413
1110,1647,1342,1647,1342,1738,1110,1737
2080,1640,2328,1640,2328,1724,2080,1725
525,709,840,709,839,780,525,779
2084,1868,2328,1868,2328,1954,2084,1955
2527,944,2889,943,2890,1013,2527,1014
380,1058,571,1057,571,1149,380,1149
1930,2784,2101,2785,2100,2864,1930,2864
2217,714,2523,714,2523,783,2217,783
687,1994,890,1995,890,2070,686,2070
2914,947,3091,946,3091,1015,2914,1016
2635,328,2856,327,2856,418,2635,418
397,312,669,313,669,405,397,405
198,333,366,333,366,408,198,408
821,2814,996,2813,997,2887,821,2887
1725,2788,1910,2789,1910,2880,1725,2880
1347,337,1660,336,1660,407,1347,408
1827,1288,2008,1288,2008,1380,1827,1380
2633,1516,2813,1516,2813,1612,2633,1612
450,2818,610,2818,610,2897,450,2896
398,826,623,826,623,896,399,897
678,1646,843,1645,843,1719,679,1719
2373,1522,2596,1522,2596,1614,2373,1614
1509,2793,1703,2793,1703,2884,1509,2884
219,829,377,830,377,903,219,903
622,1523,832,1522,832,1622,622,1622
458,1644,587,1645,587,1718,457,1718
1345,3244,1521,3244,1521,3333,1346,3334
199,442,362,442,362,516,199,516
454,1524,598,1525,598,1604,454,1604
261,2585,420,2585,420,2659,261,2658
475,2346,618,2346,618,2421,475,2421
1203,1987,1350,1987,1350,2067,1202,2066
1972,939,2142,939,2142,1010,1972,1010
1970,711,2090,711,2090,781,1969,780
762,937,911,937,911,1009,762,1009
2467,328,2613,328,2613,418,2466,417
1137,2804,1318,2804,1317,2878,1137,2878
911,1998,1030,1998,1030,2085,911,2085
357,711,490,711,490,783,357,783
406,2463,580,2462,581,2558,407,2558
698,332,812,332,812,405,698,405
1574,3120,1725,3121,1725,3215,1573,3215
467,1998,598,1998,597,2073,467,2072
1081,2218,1234,2219,1234,2294,1081,2294
2834,1517,2972,1518,2971,1593,2834,1592
249,1525,395,1525,395,1599,249,1598
632,2814,798,2815,798,2893,631,2892
1712,3232,1852,3232,1852,3323,1712,3324
219,1060,355,1060,355,1135,219,1135
2795,830,2912,830,2911,901,2795,900
1339,2801,1481,2801,1480,2874,1339,2873
219,945,344,945,344,1016,219,1016
1445,3140,1551,3140,1551,3199,1445,3198
1259,2237,1384,2237,1384,2311,1260,2311
476,2230,589,2229,589,2302,476,2303
1505,1292,1812,1293,1811,1380,1505,1379
261,2463,383,2463,383,2542,261,2542
465,1877,591,1878,591,1951,465,1950
220,713,340,713,340,788,220,788
615,2225,729,2225,728,2300,614,2300
2942,351,3071,350,3071,421,2942,421
1048,1992,1178,1992,1177,2069,1048,2068
1739,339,1848,339,1848,410,1739,409
1997,1527,2104,1526,2104,1622,1997,1622
2544,718,2636,718,2636,786,2544,786
1832,1531,1973,1531,1973,1601,1831,1601
2111,729,2198,729,2198,781,2111,781
866,707,958,707,959,778,866,778
732,1879,821,1879,821,1970,732,1970
846,1878,965,1877,965,1949,846,1949
973,1640,1088,1640,1088,1719,973,1719
1535,3239,1693,3239,1693,3328,1535,3328
1605,1529,1696,1529,1696,1600,1606,1600
620,1877,711,1876,711,1951,620,1951
866,1650,950,1650,950,1720,867,1720
1021,2805,1108,2805,1108,2884,1021,2885
261,2228,314,2227,314,2305,262,2306
1368,1643,1481,1643,1481,1720,1368,1720
1972,824,2051,824,2052,893,1972,894
259,1995,312,1995,313,2071,260,2071
1756,2208,1824,2208,1824,2295,1756,2295
254,1880,307,1880,307,1953,254,1954
1745,1647,1786,1646,1787,1720,1745,1720
605,1652,658,1652,658,1718,605,1718
2131,2792,2175,2791,2175,2863,2131,2864
617,1998,665,1998,664,2068,616,2068
2931,832,2975,832,2975,901,2932,901
1768,1872,1812,1872,1812,1943,1768,1943
