693,116,1483,117,1482,256,693,255
399,438,921,438,921,512,399,513
1568,124,2089,125,2089,261,1568,260
475,2111,653,2110,653,2207,475,2207
2142,131,2608,131,2608,263,2142,263
461,2576,765,2575,765,2670,461,2671
2834,2199,3117,2199,3117,2281,2834,2281
2874,1859,3115,1859,3115,1943,2874,1943
841,333,1316,333,1316,405,841,404
1741,3115,2022,3115,2022,3189,1741,3189
2087,1869,2328,1869,2328,1955,2087,1955
2090,1982,2325,1982,2325,2064,2090,2064
262,2343,452,2343,452,2443,262,2443
1350,335,1663,336,1662,408,1350,407
398,313,668,313,668,405,398,405
2881,1972,3111,1972,3111,2055,2881,2055
459,1762,589,1762,589,1837,459,1837
604,1055,854,1055,854,1130,604,1130
2852,1632,3083,1632,3083,1712,2852,1713
755,2238,1055,2238,1055,2316,755,2316
366,939,741,938,741,1010,366,1010
1111,1648,1342,1647,1342,1738,1112,1738
1872,324,2130,324,2130,412,1872,412
983,707,1296,707,1296,778,983,778
237,2816,425,2816,425,2917,237,2917
2528,943,2888,943,2888,1014,2528,1014
2220,715,2525,715,2525,784,2220,784
2945,2314,3122,2313,3122,2398,2946,2398
1929,2786,2101,2785,2101,2862,1929,2862
2634,327,2856,327,2856,419,2634,419
1401,1281,1626,1281,1626,1381,1401,1381
3038,2540,3126,2540,3127,2611,3038,2611
2084,1639,2327,1639,2327,1725,2084,1725
2091,2208,2333,2208,2333,2293,2091,2293
2631,1515,2814,1515,2815,1613,2631,1613
2837,2315,3005,2315,3005,2386,2837,2386
2298,940,2505,940,2505,1011,2298,1011
380,1059,557,1059,557,1149,380,1149
198,442,359,441,359,517,198,517
2654,719,2853,719,2853,790,2655,790
1508,2793,1703,2793,1703,2884,1508,2884
2916,946,3089,946,3089,1016,2916,1016
530,708,840,708,840,779,530,779
2163,322,2378,322,2379,414,2163,414
1135,2803,1318,2803,1318,2877,1136,2878
622,1524,832,1524,832,1623,622,1623
1229,3130,1422,3130,1422,3204,1229,3204
450,2819,608,2819,608,2897,450,2897
2375,1520,2597,1520,2597,1614,2375,1615
1081,2219,1234,2218,1234,2293,1081,2293
405,2462,580,2462,580,2558,405,2558
1724,2788,1907,2788,1907,2880,1725,2880
2979,2426,3124,2426,3124,2512,2979,2512
1343,3243,1522,3243,1522,3333,1343,3333
686,1994,888,1994,888,2070,687,2070
1976,939,2134,939,2134,1010,1976,1010
2835,2429,2975,2429,2975,2504,2835,2504
455,1525,596,1524,596,1604,455,1604
220,830,378,830,378,902,220,902
822,2813,995,2813,996,2887,822,2887
197,333,368,332,368,407,197,407
2354,717,2633,717,2634,787,2354,787
251,1526,394,1526,394,1599,251,1599
1258,2237,1387,2237,1387,2311,1258,2311
476,2344,616,2344,616,2422,476,2422
1711,3231,1851,3231,1851,3324,1711,3324
2834,1517,2970,1517,2969,1594,2834,1594
701,331,823,330,824,405,701,405
1571,3119,1727,3118,1727,3214,1571,3214
678,1646,840,1646,841,1719,678,1719
1648,1309,1809,1309,1809,1381,1648,1381
459,1645,585,1645,585,1719,459,1719
399,826,625,826,625,896,399,897
475,2229,590,2229,590,2302,475,2302
1831,1289,2007,1289,2007,1380,1831,1380
263,2583,420,2583,420,2658,263,2658
634,2814,797,2814,797,2891,634,2891
261,2462,384,2462,384,2542,261,2542
2945,350,3069,350,3069,422,2945,422
217,1060,352,1060,352,1135,217,1135
469,2000,598,2000,598,2071,469,2071
1048,1993,1177,1992,1177,2069,1048,2069
911,1998,1028,1998,1028,2085,911,2085
732,1877,821,1877,822,1972,732,1972
219,714,338,714,338,788,219,788
357,712,488,712,488,782,357,782
1444,3141,1552,3141,1552,3198,1444,3198
221,945,341,944,341,1017,221,1017
2467,327,2612,327,2612,417,2467,417
1365,1644,1479,1643,1480,1720,1365,1720
2797,830,2900,830,2900,900,2797,900
767,937,909,936,909,1009,767,1009
465,1879,593,1879,592,1950,465,1950
1340,2802,1480,2802,1480,2873,1340,2873
1203,1987,1350,1987,1350,2066,1203,2066
614,2226,727,2226,727,2300,614,2300
1536,3239,1694,3238,1694,3328,1536,3328
1834,1531,1972,1531,1972,1602,1834,1602
973,1641,1088,1641,1088,1719,974,1719
1737,339,1846,339,1846,408,1737,408
1970,711,2093,711,2093,780,1970,780
846,1878,962,1878,962,1948,846,1948
865,1647,950,1646,951,1720,865,1720
1995,1526,2104,1526,2104,1620,1995,1620
1606,1528,1696,1527,1696,1600,1606,1601
2174,939,2271,939,2271,1009,2174,1009
861,709,959,708,959,777,861,778
2878,721,2964,720,2964,790,2878,790
1019,2807,1108,2807,1108,2882,1019,2882
615,1878,708,1878,709,1950,615,1950
2130,2789,2181,2789,2181,2866,2130,2866
2110,730,2195,729,2195,781,2110,781
1973,826,2048,826,2048,894,1974,894
264,2229,318,2229,318,2305,264,2305
255,1879,310,1880,310,1954,255,1953
607,1645,654,1646,654,1716,606,1716
1745,1643,1791,1643,1790,1715,1745,1715
260,1992,311,1992,310,2070,260,2070
615,1998,662,1999,662,2071,614,2071
2931,832,2977,832,2977,901,2930,901
